<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MBB,20210625,42.0000,42.2000,41.3000,42.1000,18753300
MBB,20210624,42.4500,42.7500,41.7000,42.0000,22472700
MBB,20210623,42.2500,42.4500,41.5000,41.9000,23680200
MBB,20210622,41.0000,42.4500,40.9000,42.0000,35453700
MBB,20210621,40.6500,40.9500,40.1000,40.6500,18818600
MBB,20210618,41.0000,41.0000,40.4500,40.5500,26023700
MBB,20210617,38.0000,40.0000,37.9000,39.9000,25763900
MBB,20210616,39.2500,39.5500,38.6500,38.7000,20702200
MBB,20210615,39.3000,39.9500,38.6500,39.3000,24890500
MBB,20210614,39.4000,39.9000,38.9000,39.3000,24587000
MBB,20210611,38.2000,39.9500,37.7500,39.4000,24998200
MBB,20210610,38.5000,38.9500,37.7000,37.9000,15556800
MBB,20210609,37.1000,38.8000,36.7500,38.5500,30626600
MBB,20210608,39.5000,39.9500,37.1000,37.3000,29808700
MBB,20210607,41.5000,41.5000,39.0000,39.7500,30845500
MBB,20210604,41.2000,42.7000,41.1000,41.5500,32896100
MBB,20210603,40.0000,41.1500,39.8500,41.1500,29087000
MBB,20210602,37.9000,38.7000,37.6000,38.5000,23682500
MBB,20210601,38.6000,38.8500,38.1000,38.2000,16331400
MBB,20210531,38.0000,38.3000,37.0000,38.0000,30395700
MBB,20210528,36.6000,37.7000,36.2000,37.7000,26378900
MBB,20210527,37.5000,37.7500,36.0500,36.5000,28188800
MBB,20210526,36.7500,37.5000,36.6000,37.5000,33671000
MBB,20210525,34.8000,35.8000,34.7500,35.8000,22789800
MBB,20210524,34.8000,35.0000,34.4000,34.7500,20486500
MBB,20210521,34.4000,35.2500,34.2500,34.6500,19882300
MBB,20210520,34.7000,34.7500,34.2500,34.5000,17314900
MBB,20210519,33.7000,34.5000,33.4000,34.5000,29370700
MBB,20210518,33.3000,33.5000,32.6000,33.3000,23037800
MBB,20210517,33.5000,33.5000,32.8000,32.9000,19181800
MBB,20210514,33.4000,33.4000,32.8500,33.0000,21651900
MBB,20210513,32.8000,33.8000,32.8000,32.9500,26896800
MBB,20210512,32.5500,33.2000,32.4500,33.2000,21106000
MBB,20210511,33.2000,33.4000,32.7000,32.7000,20385100
MBB,20210510,31.6000,33.4500,31.5500,33.2000,36389900
MBB,20210507,31.3000,31.7000,31.2000,31.6000,24764800
MBB,20210506,31.7000,32.1000,31.3500,31.6000,18915500
MBB,20210505,31.5500,32.4000,31.5000,31.7000,25875400
MBB,20210504,29.6000,31.3500,29.6000,31.2500,24397100
MBB,20210429,30.5000,30.9500,30.3500,30.3500,18937600
MBB,20210428,29.6000,30.8000,29.6000,30.2500,17389600
MBB,20210427,29.6000,29.9500,29.2000,29.6000,10054300
MBB,20210426,30.3000,30.3000,29.5000,29.6000,14253600
MBB,20210423,29.2000,30.3000,29.1000,30.3000,16710100
MBB,20210422,30.4000,30.5000,29.2000,29.2000,13234000
MBB,20210420,30.7000,31.0000,30.1000,30.5000,12942400
MBB,20210419,30.4500,30.8000,29.9500,30.5000,13993700
MBB,20210416,30.4000,30.6500,29.8000,30.2000,17708300
MBB,20210415,31.2500,31.2500,30.5500,30.6000,18900600
MBB,20210414,30.8000,31.3500,30.6000,31.2500,15096700
MBB,20210413,31.8000,31.8000,30.9000,31.1000,22558600
MBB,20210412,31.6000,31.7500,31.3500,31.6500,16624100
MBB,20210409,31.1000,31.4500,30.8500,31.3500,16904800
MBB,20210408,31.8000,31.8000,31.0000,31.2000,22368700
MBB,20210407,31.5000,32.0500,31.4500,31.8000,23620400
MBB,20210406,30.7000,31.4500,30.5000,31.4000,33236600
MBB,20210405,30.2500,30.4000,29.8000,30.4000,26102300
MBB,20210402,29.6000,29.7000,29.2500,29.6000,17890400
MBB,20210401,28.2500,29.2000,28.2000,29.2000,19588200
MBB,20210331,28.3500,28.5500,28.1000,28.1500,10510400
MBB,20210330,28.2500,28.7000,27.9500,28.3000,13184900
MBB,20210329,27.6500,28.3000,27.5000,28.2500,16883500
MBB,20210326,27.3000,27.7500,26.7500,27.5000,14311100
MBB,20210325,27.7000,28.0000,27.5000,27.5500,13199800
MBB,20210324,28.0000,28.1500,27.4000,27.6000,16076400
MBB,20210323,28.6500,28.7000,28.2500,28.3500,15105300
MBB,20210322,28.6500,29.2500,28.5000,28.6500,15628700
MBB,20210319,29.0000,29.3500,29.0000,29.2000,9917000
MBB,20210318,29.3000,29.3500,29.0000,29.2000,13051200
MBB,20210317,29.0000,29.0000,28.6500,29.0000,14185100
MBB,20210316,28.6500,29.1500,28.3500,28.6500,12749900
MBB,20210315,28.4000,28.9000,28.2000,28.9000,23273400
MBB,20210312,28.4000,28.4500,28.1500,28.2500,16339100
MBB,20210311,28.2500,28.5000,28.1000,28.2500,16459200
MBB,20210310,27.4000,28.1000,27.1000,27.9500,21590100
MBB,20210309,27.2000,27.5500,27.0000,27.3000,12179900
MBB,20210308,27.7000,27.8500,27.2500,27.6000,14809500
MBB,20210305,27.1000,27.5000,26.8000,27.3500,19035300
MBB,20210304,28.0000,28.2000,26.9000,27.1500,23153000
MBB,20210303,28.0000,28.4000,27.9000,28.0000,16468900
MBB,20210302,28.6500,28.7000,28.0000,28.1000,14005100
MBB,20210301,28.0500,28.4500,27.9000,28.3500,22065400
MBB,20210226,26.8000,27.8000,26.7000,27.6500,22352200
MBB,20210225,27.3000,27.4500,26.8500,27.3000,17887600
MBB,20210224,27.6500,27.8000,26.9000,27.0000,19888900
MBB,20210223,26.7500,27.5000,26.6000,27.4000,31587900
MBB,20210222,26.8500,27.1500,26.3000,26.7000,19791100
MBB,20210219,26.8500,27.4000,25.8000,26.8500,30003300
MBB,20210218,26.2000,26.3000,25.6000,26.2000,23346000
MBB,20210217,25.8000,25.8000,25.0000,25.8000,18470000
MBB,20210209,24.0000,24.7500,23.8000,24.7500,15933800
MBB,20210208,23.9000,25.2000,23.8500,23.9000,22263700
MBB,20210205,24.2000,24.8000,24.0500,24.7500,11885000
MBB,20210204,24.3000,24.3500,23.8000,24.0500,11089600
MBB,20210203,23.7000,24.3500,23.4000,24.2500,19837900
MBB,20210202,22.6000,23.4000,21.9500,23.3500,14396700
MBB,20210201,23.0000,23.5000,21.9500,22.0000,16163000
MBB,20210129,21.3000,23.5000,21.3000,23.4500,19607700
MBB,20210128,22.5000,23.0000,22.3500,22.3500,20362200
MBB,20210127,24.8000,25.2500,23.8500,24.0000,22798000
MBB,20210126,25.1500,25.6000,23.7500,25.6000,19797100
MBB,20210125,25.4000,25.8000,25.1500,25.2000,10924900
MBB,20210122,25.7000,25.9500,25.3000,25.6000,12400500
MBB,20210121,25.8000,25.8000,24.4000,25.8000,14714600
MBB,20210120,24.4000,24.7500,22.9000,24.4000,23198100
MBB,20210119,26.2000,26.2000,24.4000,24.4000,22184900
MBB,20210118,26.7500,26.8500,26.2000,26.2000,13838300
MBB,20210115,26.9000,27.2000,26.5500,26.7500,19922700
MBB,20210114,26.3000,26.4000,25.8500,26.4000,20138800
MBB,20210113,26.1500,26.6000,25.9000,26.0000,18649800
MBB,20210112,26.3500,26.5000,25.7000,26.1500,16552100
MBB,20210111,26.3500,27.2000,26.2000,26.3500,23381600
MBB,20210108,26.2000,27.3500,26.0000,26.6000,25861800
MBB,20210107,25.5000,25.9500,25.2500,25.9000,18918200
MBB,20210106,25.5000,26.0000,25.0000,25.3000,22063300
MBB,20210105,23.9299,24.9208,23.7317,24.9207,34044900
MBB,20210104,23.1867,24.1280,22.8894,23.7317,42370800
MBB,20201231,22.7903,22.8894,22.7407,22.7903,14034660
MBB,20201230,22.6913,22.9390,22.6913,22.6912,12801190
MBB,20201229,22.7408,22.8399,22.6417,22.7408,10912210
MBB,20201228,23.2858,23.2858,22.6417,22.8399,16589830
MBB,20201225,22.8895,22.9390,22.3940,22.8894,12807670
MBB,20201224,22.8398,22.9389,21.8985,22.5922,16011380
MBB,20201223,23.0876,23.1371,22.6912,22.6912,13833600
MBB,20201222,22.9885,23.4839,22.7903,22.9885,22805050
MBB,20201221,23.0876,23.4839,22.8399,23.0380,26924800
MBB,20201218,22.8894,22.8894,21.9480,22.8894,17502170
MBB,20201217,21.8986,22.0967,21.6013,21.8985,16719990
MBB,20201216,21.4526,22.1958,21.3040,22.0472,19503010
MBB,20201215,21.3040,21.6508,21.2049,21.3040,13083510
MBB,20201214,21.4031,21.7004,21.4031,21.6508,14023310
MBB,20201211,20.9572,21.3040,20.6599,21.3040,8637130
MBB,20201210,20.8581,21.3535,20.8085,20.8581,13602560
MBB,20201209,21.3040,21.5518,21.1554,21.2049,12895210
MBB,20201208,20.7095,21.3536,20.6104,21.1554,16402560
MBB,20201207,20.7590,20.8581,20.6104,20.7095,8253270
MBB,20201204,20.8086,20.9572,20.6600,20.7590,18416060
MBB,20201203,21.3536,21.3536,20.6600,20.8086,22447130
MBB,20201202,20.7094,21.2049,20.6599,21.1554,18071190
MBB,20201201,20.6599,20.6599,19.8672,20.6599,20421100
MBB,20201130,20.2141,20.4122,20.0159,20.1645,18510250
MBB,20201127,19.3222,19.8176,19.2231,19.8177,15975030
MBB,20201126,19.0745,19.3222,19.0250,19.3222,12419270
MBB,20201125,19.4213,19.4213,19.1241,19.2727,6517830
MBB,20201124,19.2232,19.3223,19.0250,19.1736,8564990
MBB,20201123,19.1241,19.2232,18.8764,19.0250,9013500
MBB,20201120,19.2727,19.3222,19.0745,19.1241,7118600
MBB,20201119,19.5700,19.6195,19.2232,19.3222,13407160
MBB,20201118,19.4709,19.8177,19.2727,19.4709,11311450
MBB,20201117,18.9754,19.3717,18.9258,19.3718,9945750
MBB,20201116,19.3223,19.4214,18.8268,18.8763,20068100
MBB,20201113,18.6286,19.1240,18.6286,19.1241,16110590
MBB,20201112,18.1331,18.5295,18.0836,18.5295,10547260
MBB,20201111,18.0341,18.1827,17.8855,18.0836,9353320
MBB,20201110,18.2322,18.3313,17.9350,17.9350,6776330
MBB,20201109,17.9350,18.1332,17.8854,18.0836,3710450
MBB,20201106,18.1332,18.2323,17.7864,17.8359,3992580
MBB,20201105,18.3313,18.3809,18.0341,18.1332,6789020
MBB,20201104,18.4304,18.4304,18.0341,18.2818,4685210
MBB,20201103,17.9350,18.1827,17.8359,18.0836,3590520
MBB,20201102,17.7863,17.8359,17.6377,17.8359,3692210
MBB,20201030,17.7368,17.7863,17.4395,17.6377,5736540
MBB,20201029,17.3405,17.7368,17.3405,17.6377,6240080
MBB,20201028,17.5882,17.7863,17.3404,17.3900,6840230
MBB,20201027,18.2323,18.2323,17.7369,17.7368,9536450
MBB,20201026,18.6287,18.6782,18.2323,18.2323,8875780
MBB,20201023,18.8268,18.8268,18.4800,18.6782,6605720
MBB,20201022,18.4800,18.6286,18.2323,18.6286,7256230
MBB,20201021,18.7277,18.8763,18.3809,18.3809,9500440
MBB,20201020,18.1331,18.5790,18.0836,18.5295,10529370
MBB,20201019,17.8359,18.1827,17.8359,18.0836,10589820
MBB,20201016,17.5882,17.7369,17.5387,17.6873,9150340
MBB,20201015,17.4396,17.5386,17.3900,17.4396,4262410
MBB,20201014,17.2414,17.5882,17.2414,17.4891,4923620
MBB,20201013,17.4395,17.4395,17.1918,17.3405,4053540
MBB,20201012,17.4891,17.5882,17.2909,17.3900,4828180
MBB,20201009,17.4891,17.5386,17.3900,17.3900,3873190
MBB,20201008,17.7369,17.7369,17.4396,17.4891,6874020
MBB,20201007,17.5882,17.6378,17.4396,17.4396,7245090
MBB,20201006,17.7863,17.7863,17.5386,17.6873,7113210
MBB,20201005,17.3012,17.5978,17.3012,17.5386,10749710
MBB,20201002,17.1466,17.2327,16.9312,17.1035,10888220
MBB,20201001,17.1466,17.2328,16.9743,17.1035,7966350
MBB,20200930,16.9312,17.0604,16.8450,17.0174,4772210
MBB,20200929,17.2328,17.2759,16.9312,16.9312,7980230
MBB,20200928,17.0173,17.3189,16.9312,17.2328,8664740
MBB,20200925,16.9743,17.0173,16.6727,16.8881,6504900
MBB,20200924,16.6727,16.9312,16.5435,16.8881,12357250
MBB,20200923,16.6297,16.7158,16.4573,16.5435,6764910
MBB,20200922,16.4142,16.5865,16.3711,16.5435,9969810
MBB,20200921,16.3711,16.5865,16.2419,16.4142,10816030
MBB,20200918,15.6819,16.1988,15.6388,16.1557,11784520
MBB,20200917,15.5526,15.8973,15.5526,15.5957,7410540
MBB,20200916,15.5526,15.6388,15.5095,15.5957,2613980
MBB,20200915,15.6387,15.7249,15.5525,15.5957,3695340
MBB,20200914,15.5094,15.7249,15.4664,15.6387,4580680
MBB,20200911,15.3372,15.4234,15.2080,15.3802,2230940
MBB,20200910,15.4233,15.5095,15.3372,15.3372,3129160
MBB,20200909,15.1649,15.3372,15.1649,15.2941,3715080
MBB,20200908,15.3372,15.3802,15.1218,15.3372,3480610
MBB,20200907,15.6388,15.6388,15.2510,15.2510,7654310
MBB,20200904,15.3802,15.5956,15.3802,15.5526,5064490
MBB,20200903,15.6819,15.8111,15.5957,15.6818,4950930
MBB,20200901,15.5526,15.5956,15.4233,15.5957,5064400
MBB,20200831,15.5095,15.6818,15.4233,15.4664,3916140
MBB,20200828,15.5095,15.6387,15.4233,15.4233,6040590
MBB,20200827,15.4233,15.5095,15.2941,15.4233,3597610
MBB,20200826,15.5095,15.6388,15.4234,15.4233,5231990
MBB,20200825,15.4234,15.7680,15.3803,15.5526,12351760
MBB,20200824,14.9925,15.3802,14.9925,15.3372,8344270
MBB,20200821,14.6909,14.9063,14.6478,14.9063,5135520
MBB,20200820,14.6909,14.7771,14.6047,14.6909,4196330
MBB,20200819,14.6478,14.6909,14.5616,14.6909,3899030
MBB,20200818,14.7340,14.7771,14.5617,14.6478,2714080
MBB,20200817,14.7340,14.8202,14.5186,14.7340,3857910
MBB,20200814,14.5617,14.8202,14.5186,14.7771,5684510
MBB,20200813,14.6048,14.6478,14.4755,14.6048,2730880
MBB,20200812,14.2170,14.5617,14.2170,14.5186,5592880
MBB,20200811,14.2601,14.3031,14.1308,14.2170,3279300
MBB,20200810,14.2170,14.2601,14.0878,14.1739,3695170
MBB,20200807,14.0878,14.1740,14.0447,14.0447,2043440
MBB,20200806,14.2170,14.2601,14.0878,14.0878,3050260
MBB,20200805,14.1309,14.2601,13.9586,14.2601,2939150
MBB,20200804,14.0447,14.2170,13.9585,14.1309,2557000
MBB,20200803,13.5277,13.9585,13.5277,13.9585,4195230
MBB,20200731,13.5278,13.7001,13.3554,13.5708,2822800
